u,g,r,i,z,class,redshift,redshift_err
19.00497,18.83137,18.55205,18.62111,18.52743,QSO,1.016767,0.0003395951
18.55046,17.50105,17.01066,16.70494,16.5112,GALAXY,0.07150065,7.76017E-06
19.38898,17.97082,17.23584,16.87221,16.57838,GALAXY,0.09209978,1.300322E-05
19.54857,17.77632,16.8664,16.43002,16.08947,GALAXY,0.08057746,2.223876E-05
19.05137,18.01086,17.68808,17.44423,17.38686,GALAXY,0.08321483,6.277883E-06
19.16367,17.25481,16.35124,15.96928,15.64421,GALAXY,0.07196455,2.00598E-05
19.14378,17.78933,17.31539,17.16447,17.14356,GALAXY,0.6692739,0.0002326488
19.41487,18.08963,17.43689,17.04197,16.77868,GALAXY,0.09138028,9.575513E-06
19.54626,17.49681,16.51568,16.06805,15.72601,GALAXY,0.09154467,2.184832E-05
19.47732,18.79965,18.70529,18.61144,18.55849,QSO,2.791188,0.000310637
18.91755,18.72434,18.62667,18.49412,18.50909,QSO,1.476106,0.0003707325
17.34686,16.14952,15.54111,15.15142,14.90117,GALAXY,0.08081593,7.962302E-06
19.51247,17.37997,16.26953,15.82261,15.44468,GALAXY,0.1353512,2.361869E-05
19.52253,19.1964,19.10571,18.96662,18.68589,QSO,2.162183,0.0001404671
19.13066,16.96537,15.83757,15.37381,14.99868,GALAXY,0.1353116,2.170505E-05
19.33115,18.04402,17.49879,17.20448,17.00467,GALAXY,0.04829505,1.534632E-05
18.56572,18.24196,18.18905,18.34005,18.22104,QSO,0.8194972,0.0001707633
19.42049,19.2464,18.90455,19.0018,18.84396,QSO,1.055812,0.0002011395
18.45327,16.64535,15.75609,15.3017,14.96077,GALAXY,0.07157665,1.486904E-05
19.27777,19.22631,19.02135,18.9594,18.9914,QSO,1.361167,0.0003205867
19.23724,17.32182,16.33003,15.90236,15.5473,GALAXY,0.09414652,2.204812E-05
19.25348,18.83999,19.0125,18.76279,18.62778,QSO,0.5266581,0.0002587187
19.33329,18.15986,17.60607,17.28422,17.05248,GALAXY,0.0874192,1.02737E-05
18.13472,16.94623,16.47528,16.17266,15.95659,GALAXY,0.0575485,1.026176E-05
19.21338,18.12254,17.70387,17.39674,17.24318,GALAXY,0.07079878,5.64223E-06
19.49917,19.31428,19.17209,18.86547,18.91752,QSO,1.791887,0.001271955
19.25964,17.29641,16.32573,15.89694,15.52346,GALAXY,0.09659571,1.931612E-05
19.55743,18.30496,17.63067,17.25498,17011,GALAXY,0.1210314,1.797452E-05
19.32233,17.6064,16.83596,16.35945,16.04258,GALAXY,0.08306821,8.068519E-06
18.55948,17.31544,16.71859,16.32946,16.09309,GALAXY,0.08371136,6.015205E-06
19.37655,19.09841,18.98511,18.71276,18.73387,QSO,1.614186,0.0003798576
19.55025,19.23416,19.12857,18.88795,18.92883,QSO,1.520577,-1
19346,17.24572,16.2121,15.77169,15.40704,GALAXY,0.0972218,2.146902E-05
19.18425,18.51466,18.13073,18.13962,18.02939,QSO,2.422869,0.0002820739
18.51099,16.5434,15.63836,15.20576,14.85911,GALAXY,0.04208763,1.305551E-05
